call_id,city,state,category,subcategory,total_seconds,resolution,transcript
C061467440,Raleigh,NC,Account & App,App Crash,723,Resolved on first call,"Agent (Riley): Thanks for calling T-Mobile, this is Riley. How can I help you today?
Customer: Hi, I'm calling from Raleigh, NC. Payment screen freezes every time.
Agent (Riley): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C555300982,Omaha,NE,Billing & Payments,Overcharge,1057,Replacement device shipped,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Omaha, NE. My bill jumped by $30 without reason.
Agent (Taylor): I'll escalate to Tier 2 and set a callback window.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C705316951,Philadelphia,PA,Devices & Orders,Order Delay,794,Resolved after escalation,"Agent (Quinn): Thanks for calling T-Mobile, this is Quinn. How can I help you today?
Customer: Hi, I'm calling from Philadelphia, PA. Shipment is overdue.
Agent (Quinn): I'll escalate to Tier 2 and set a callback window.
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Quinn): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update."
C009917998,Cleveland,OH,Billing & Payments,Promo Not Applied,773,Goodwill credit issued,"Agent (Jordan): Hi, Jordan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Cleveland, OH. The trade-in promo didn't apply.
Agent (Jordan): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Agent (Jordan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update."
C548305717,San Francisco,CA,Network & Coverage,Dropped Calls,1123,Resolved on first call,"Agent (Harper): You're speaking with Harper from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from San Francisco, CA. Calls drop after a couple minutes.
Agent (Harper): I can help with that. Let me pull up your account.
Agent (Harper): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C855132432,Las Vegas,NV,Network & Coverage,No Service,1354,Goodwill credit issued,"Agent (Riley): Thanks for calling T-Mobile, this is Riley. How can I help you today?
Customer: Hi, I'm calling from Las Vegas, NV. My phone shows no bars at home.
Agent (Riley): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C122049874,Cleveland,OH,Network & Coverage,Dropped Calls,437,Replacement device shipped,"Agent (Morgan): You're speaking with Morgan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Cleveland, OH. Every call with my mom disconnects.
Agent (Morgan): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): I'm checking logs and applying updates on my end.
Agent (Morgan): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update."
C675529686,Bellevue,WA,Billing & Payments,Overcharge,707,Resolved on first call,"Agent (Hayden): Hi, Hayden here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Bellevue, WA. I was billed twice for last month.
Agent (Hayden): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Hayden): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C464133139,Columbus,OH,Devices & Orders,Device Setup,1170,Goodwill credit issued,"Agent (Cameron): You're speaking with Cameron from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Columbus, OH. Can't activate my new phone.
Agent (Cameron): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C219579249,Austin,TX,Devices & Orders,Upgrade Status,1279,Resolved on first call,"Agent (Riley): You're speaking with Riley from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Austin, TX. I want to confirm my trade-in was received.
Agent (Riley): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C444616482,Memphis,TN,Network & Coverage,5G Not Available,717,Goodwill credit issued,"Agent (Reese): Thanks for calling T-Mobile, this is Reese. How can I help you today?
Customer: Hi, I'm calling from Memphis, TN. I only get LTE in a 5G area.
Agent (Reese): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Reese): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update."
C816284060,Des Moines,IA,Billing & Payments,Payment Failure,613,Goodwill credit issued,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Des Moines, IA. My autopay failed even though my card works.
Agent (Taylor): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C623117459,Jacksonville,FL,Plans & Features,Hotspot Issues,678,Resolved on first call,"Agent (Parker): You're speaking with Parker from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Jacksonville, FL. Laptop won't get internet from hotspot.
Agent (Parker): I'll escalate to Tier 2 and set a callback window.
Agent (Parker): I'm checking logs and applying updates on my end.
Agent (Parker): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Parker): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C180010896,Honolulu,HI,Account & App,Security/Pin Reset,687,Resolved on first call,"Agent (Jamie): You're speaking with Jamie from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Honolulu, HI. Got an alert about a suspicious login.
Agent (Jamie): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jamie): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C800715450,Birmingham,AL,Account & App,App Crash,504,Replacement device shipped,"Agent (Alex): You're speaking with Alex from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Birmingham, AL. The app crashes on launch.
Agent (Alex): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it."
C331632337,San Antonio,TX,Account & App,Login Issues,564,Goodwill credit issued,"Agent (Cameron): Thanks for calling T-Mobile, this is Cameron. How can I help you today?
Customer: Hi, I'm calling from San Antonio, TX. Two-factor codes aren't arriving.
Agent (Cameron): I see the issue. I'll file a ticket and apply a credit.
Agent (Cameron): I'm checking logs and applying updates on my end.
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C524493195,Jacksonville,FL,Plans & Features,Voicemail,630,Replacement device shipped,"Agent (Harper): You're speaking with Harper from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Jacksonville, FL. Visual voicemail isn't loading.
Agent (Harper): I can help with that. Let me pull up your account.
Agent (Harper): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C154409236,Jacksonville,FL,Billing & Payments,Payment Failure,569,Resolved on first call,"Agent (Riley): You're speaking with Riley from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Jacksonville, FL. Payment kept getting declined in the app.
Agent (Riley): I see the issue. I'll file a ticket and apply a credit.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C259890275,Brooklyn,NY,Devices & Orders,Upgrade Status,1025,Goodwill credit issued,"Agent (Jordan): Hi, Jordan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Brooklyn, NY. I want to confirm my trade-in was received.
Agent (Jordan): I'll walk you through an eSIM reactivation.
Agent (Jordan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jordan): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C301956999,Providence,RI,Devices & Orders,Return/Exchange,1228,Resolved on first call,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Providence, RI. The phone reboots randomly.
Agent (Jamie): I can help with that. Let me pull up your account.
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C524533634,San Diego,CA,Devices & Orders,Return/Exchange,655,Pending vendor response,"Agent (Riley): You're speaking with Riley from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from San Diego, CA. I need to return a defective device.
Agent (Riley): I can help with that. Let me pull up your account.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C738031699,Charleston,SC,Account & App,Security/Pin Reset,683,Replacement device shipped,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Charleston, SC. Got an alert about a suspicious login.
Agent (Jamie): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jamie): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C445686909,Kansas City,MO,Devices & Orders,Order Delay,1002,Resolved on first call,"Agent (Sam): Thanks for calling T-Mobile, this is Sam. How can I help you today?
Customer: Hi, I'm calling from Kansas City, MO. Tracking hasn't updated in days.
Agent (Sam): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update."
C857891465,Tampa,FL,Devices & Orders,Device Setup,848,Replacement device shipped,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Tampa, FL. Wi‑Fi calling won't enable.
Agent (Taylor): I'll escalate to Tier 2 and set a callback window.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it."
C728329785,Charleston,SC,Account & App,Security/Pin Reset,490,Pending customer action,"Agent (Quinn): Hi, Quinn here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Charleston, SC. Forgot my PIN.
Agent (Quinn): I see the issue. I'll file a ticket and apply a credit.
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
C650596532,Washington,DC,Account & App,eSIM/SIM,608,Resolved on first call,"Agent (Casey): Thanks for calling T-Mobile, this is Casey. How can I help you today?
Customer: Hi, I'm calling from Washington, DC. SIM not recognized after update.
Agent (Casey): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Agent (Casey): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Casey): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it."
C303380209,Manchester,NH,Network & Coverage,Dropped Calls,542,Pending customer action,"Agent (Logan): Thanks for calling T-Mobile, this is Logan. How can I help you today?
Customer: Hi, I'm calling from Manchester, NH. Calls drop after a couple minutes.
Agent (Logan): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update."
