call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C426249036,San Diego,CA,Network & Coverage,Dropped Calls,772,Pending vendor response,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from San Diego, CA. Calls drop after a couple minutes.
Agent (Jamie): I'll escalate to Tier 2 and set a callback window.
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.1,neutral
C687642297,Las Vegas,NV,Network & Coverage,5G Not Available,1371,Replacement device shipped,"Agent (Sam): Hi, Sam here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Las Vegas, NV. I only get LTE in a 5G area.
Agent (Sam): We can expedite shipping on a replacement.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C488815503,Brooklyn,NY,Network & Coverage,No Service,469,Goodwill credit issued,"Agent (Reese): Hi, Reese here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Brooklyn, NY. My phone shows no bars at home.
Agent (Reese): Thanks for the details. I'll run diagnostics on your line.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Reese): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Reese): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.3,negative
C590295448,Baltimore,MD,Billing & Payments,Promo Not Applied,642,Resolved on first call,"Agent (Jordan): You're speaking with Jordan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Baltimore, MD. The trade-in promo didn't apply.
Agent (Jordan): I see the issue. I'll file a ticket and apply a credit.
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C349101013,Savannah,GA,Devices & Orders,Upgrade Status,857,Replacement device shipped,"Agent (Cameron): Hi, Cameron here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Savannah, GA. Where's my upgrade order now?
Agent (Cameron): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Agent (Cameron): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C683305841,Phoenix,AZ,Devices & Orders,Order Delay,1312,Replacement device shipped,"Agent (Skyler): Thanks for calling T-Mobile, this is Skyler. How can I help you today?
Customer: Hi, I'm calling from Phoenix, AZ. Shipment is overdue.
Agent (Skyler): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.85,positive
C276922612,Kansas City,MO,Billing & Payments,Promo Not Applied,534,Goodwill credit issued,"Agent (Harper): Thanks for calling T-Mobile, this is Harper. How can I help you today?
Customer: Hi, I'm calling from Kansas City, MO. My bill doesn't reflect the advertised discount.
Agent (Harper): I'll walk you through an eSIM reactivation.
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C350311750,Houston,TX,Plans & Features,Hotspot Issues,840,Replacement device shipped,"Agent (Skyler): Thanks for calling T-Mobile, this is Skyler. How can I help you today?
Customer: Hi, I'm calling from Houston, TX. Hotspot disconnects frequently.
Agent (Skyler): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C817918610,Salt Lake City,UT,Devices & Orders,Order Delay,483,Goodwill credit issued,"Agent (Hayden): You're speaking with Hayden from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Salt Lake City, UT. Tracking hasn't updated in days.
Agent (Hayden): I'll escalate to Tier 2 and set a callback window.
Agent (Hayden): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Hayden): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C851792102,Detroit,MI,Account & App,Security/Pin Reset,692,Replacement device shipped,"Agent (Morgan): Thanks for calling T-Mobile, this is Morgan. How can I help you today?
Customer: Hi, I'm calling from Detroit, MI. Forgot my PIN.
Agent (Morgan): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Morgan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
