call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C251825939,Charleston,SC,Account & App,App Crash,638,Goodwill credit issued,"Agent (Harper): Hi, Harper here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Charleston, SC. The app crashes on launch.
Agent (Harper): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Harper): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C324786709,Dallas,TX,Plans & Features,Plan Change,474,Resolved after escalation,"Agent (Casey): Hi, Casey here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Dallas, TX. I want to add a line for my kid.
Agent (Casey): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Casey): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Casey): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",3,0.2,neutral
C759454045,Portland,OR,Plans & Features,Plan Change,628,Replacement device shipped,"Agent (Alex): You're speaking with Alex from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Portland, OR. I want to add a line for my kid.
Agent (Alex): I'll walk you through an eSIM reactivation.
Agent (Alex): I'm checking logs and applying updates on my end.
Agent (Alex): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Alex): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.1,neutral
C275290455,Houston,TX,Account & App,App Crash,647,Resolved on first call,"Agent (Skyler): Hi, Skyler here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Houston, TX. Payment screen freezes every time.
Agent (Skyler): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Agent (Skyler): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C614057955,Richmond,VA,Plans & Features,Voicemail,294,Replacement device shipped,"Agent (Drew): Thanks for calling T-Mobile, this is Drew. How can I help you today?
Customer: Hi, I'm calling from Richmond, VA. I can't set up my voicemail greeting.
Agent (Drew): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C455419398,Chicago,IL,Billing & Payments,Promo Not Applied,1009,Resolved on first call,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Chicago, IL. The trade-in promo didn't apply.
Agent (Rowan): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C571827950,Memphis,TN,Plans & Features,International Roaming,475,Resolved on first call,"Agent (Hayden): Hi, Hayden here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Memphis, TN. No data while traveling abroad.
Agent (Hayden): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Hayden): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.4,negative
C984091558,Nashville,TN,Billing & Payments,Payment Failure,885,Goodwill credit issued,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Nashville, TN. My autopay failed even though my card works.
Agent (Jamie): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C048500830,Brooklyn,NY,Devices & Orders,Upgrade Status,343,Goodwill credit issued,"Agent (Avery): Thanks for calling T-Mobile, this is Avery. How can I help you today?
Customer: Hi, I'm calling from Brooklyn, NY. Where's my upgrade order now?
Agent (Avery): I'll escalate to Tier 2 and set a callback window.
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C601040543,Houston,TX,Devices & Orders,Order Delay,597,Goodwill credit issued,"Agent (Reese): Thanks for calling T-Mobile, this is Reese. How can I help you today?
Customer: Hi, I'm calling from Houston, TX. Tracking hasn't updated in days.
Agent (Reese): I'll escalate to Tier 2 and set a callback window.
Agent (Reese): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Reese): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",4,0.4,positive
