call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C907494919,Charlotte,NC,Network & Coverage,Dropped Calls,474,Goodwill credit issued,"Agent (Parker): Thanks for calling T-Mobile, this is Parker. How can I help you today?
Customer: Hi, I'm calling from Charlotte, NC. Calls drop after a couple minutes.
Agent (Parker): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Parker): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C488895685,Albuquerque,NM,Plans & Features,International Roaming,345,Replacement device shipped,"Agent (Logan): Hi, Logan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Albuquerque, NM. Roaming worked, but I got unexpected charges.
Agent (Logan): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C411115354,Boston,MA,Network & Coverage,Slow Data,1428,Callback scheduled,"Agent (Emerson): You're speaking with Emerson from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Boston, MA. My data is crawling at peak times.
Agent (Emerson): I'll escalate to Tier 2 and set a callback window.
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.3,negative
C560617930,Portland,OR,Network & Coverage,Slow Data,1156,Replacement device shipped,"Agent (Alex): Thanks for calling T-Mobile, this is Alex. How can I help you today?
Customer: Hi, I'm calling from Portland, OR. Speed tests show under 1 Mbps.
Agent (Alex): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Alex): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C693228072,Salt Lake City,UT,Billing & Payments,Payment Failure,859,Goodwill credit issued,"Agent (Quinn): You're speaking with Quinn from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Salt Lake City, UT. My autopay failed even though my card works.
Agent (Quinn): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Quinn): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C723464095,Baltimore,MD,Devices & Orders,Upgrade Status,491,Resolved after escalation,"Agent (Reese): You're speaking with Reese from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Baltimore, MD. Where's my upgrade order now?
Agent (Reese): I can help with that. Let me pull up your account.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.1,neutral
C810526423,Denver,CO,Billing & Payments,Overcharge,512,Callback scheduled,"Agent (Drew): Hi, Drew here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Denver, CO. My bill jumped by $30 without reason.
Agent (Drew): I'll walk you through an eSIM reactivation.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Drew): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.5,negative
C371397216,Baltimore,MD,Plans & Features,International Roaming,654,Resolved on first call,"Agent (Logan): Hi, Logan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Baltimore, MD. Roaming worked, but I got unexpected charges.
Agent (Logan): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C986193355,Boise,ID,Account & App,App Crash,749,Replacement device shipped,"Agent (Logan): You're speaking with Logan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Boise, ID. The app crashes on launch.
Agent (Logan): I'm pushing a network refresh; please toggle airplane mode.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): I'm checking logs and applying updates on my end.
Agent (Logan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C898118665,Madison,WI,Plans & Features,Plan Change,550,Resolved on first call,"Agent (Emerson): Thanks for calling T-Mobile, this is Emerson. How can I help you today?
Customer: Hi, I'm calling from Madison, WI. I want to add a line for my kid.
Agent (Emerson): I see the issue. I'll file a ticket and apply a credit.
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Emerson): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C390023539,Manchester,NH,Account & App,eSIM/SIM,452,Resolved after escalation,"Agent (Hayden): Hi, Hayden here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Manchester, NH. Need help transferring eSIM.
Agent (Hayden): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Hayden): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",3,0.1,neutral
C735176348,San Francisco,CA,Account & App,eSIM/SIM,208,Goodwill credit issued,"Agent (Skyler): Hi, Skyler here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from San Francisco, CA. Need help transferring eSIM.
Agent (Skyler): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Agent (Skyler): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C069637900,Raleigh,NC,Plans & Features,Plan Change,482,Resolved on first call,"Agent (Cameron): Thanks for calling T-Mobile, this is Cameron. How can I help you today?
Customer: Hi, I'm calling from Raleigh, NC. I want to add a line for my kid.
Agent (Cameron): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Cameron): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",4,0.8,positive
