call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C835825590,Los Angeles,CA,Devices & Orders,Upgrade Status,546,Goodwill credit issued,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Los Angeles, CA. Where's my upgrade order now?
Agent (Rowan): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C643471586,Washington,DC,Plans & Features,International Roaming,586,Resolved on first call,"Agent (Riley): Hi, Riley here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Washington, DC. No data while traveling abroad.
Agent (Riley): I'll walk you through an eSIM reactivation.
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C156687137,Cleveland,OH,Network & Coverage,No Service,911,Goodwill credit issued,"Agent (Emerson): Hi, Emerson here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Cleveland, OH. My phone shows no bars at home.
Agent (Emerson): I'll walk you through an eSIM reactivation.
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Emerson): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.4,negative
C613787471,Orlando,FL,Devices & Orders,Order Delay,722,Resolved on first call,"Agent (Sam): Thanks for calling T-Mobile, this is Sam. How can I help you today?
Customer: Hi, I'm calling from Orlando, FL. Tracking hasn't updated in days.
Agent (Sam): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C023352838,Louisville,KY,Plans & Features,Hotspot Issues,429,Replacement device shipped,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Louisville, KY. Hotspot disconnects frequently.
Agent (Rowan): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C185232605,Pittsburgh,PA,Plans & Features,Plan Change,570,Resolved on first call,"Agent (Hayden): You're speaking with Hayden from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Pittsburgh, PA. Please move me to the new Go5G plan.
Agent (Hayden): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",4,0.85,positive
C621322958,Nashville,TN,Billing & Payments,Promo Not Applied,882,Replacement device shipped,"Agent (Jamie): Hi, Jamie here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Nashville, TN. My bill doesn't reflect the advertised discount.
Agent (Jamie): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",4,0.75,positive
C941670880,Buffalo,NY,Devices & Orders,Upgrade Status,1050,Replacement device shipped,"Agent (Sam): You're speaking with Sam from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Buffalo, NY. I want to confirm my trade-in was received.
Agent (Sam): We can expedite shipping on a replacement.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Sam): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.85,positive
C333196969,Honolulu,HI,Plans & Features,Plan Change,563,Resolved after escalation,"Agent (Morgan): You're speaking with Morgan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Honolulu, HI. Please move me to the new Go5G plan.
Agent (Morgan): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Morgan): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.3,negative
C897712418,Orlando,FL,Account & App,App Crash,597,Resolved on first call,"Agent (Avery): Hi, Avery here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Orlando, FL. Payment screen freezes every time.
Agent (Avery): I can help with that. Let me pull up your account.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
