call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C344353040,Las Vegas,NV,Billing & Payments,Refund Request,935,Resolved on first call,"Agent (Avery): Hi, Avery here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Las Vegas, NV. I was promised a credit that hasn't posted.
Agent (Avery): Thanks for the details. I'll run diagnostics on your line.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C573351779,Denver,CO,Devices & Orders,Upgrade Status,984,Replacement device shipped,"Agent (Drew): Thanks for calling T-Mobile, this is Drew. How can I help you today?
Customer: Hi, I'm calling from Denver, CO. Where's my upgrade order now?
Agent (Drew): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C888893545,Tampa,FL,Devices & Orders,Device Setup,571,Callback scheduled,"Agent (Harper): You're speaking with Harper from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Tampa, FL. Wi‑Fi calling won't enable.
Agent (Harper): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): I'm checking logs and applying updates on my end.
Agent (Harper): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.2,neutral
C285749026,Brooklyn,NY,Plans & Features,Hotspot Issues,414,Resolved on first call,"Agent (Quinn): You're speaking with Quinn from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Brooklyn, NY. Hotspot disconnects frequently.
Agent (Quinn): Thanks for the details. I'll run diagnostics on your line.
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C514643217,Cheyenne,WY,Plans & Features,International Roaming,886,Replacement device shipped,"Agent (Emerson): Thanks for calling T-Mobile, this is Emerson. How can I help you today?
Customer: Hi, I'm calling from Cheyenne, WY. No data while traveling abroad.
Agent (Emerson): Thanks for the details. I'll run diagnostics on your line.
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C201005285,Boston,MA,Account & App,App Crash,360,Goodwill credit issued,"Agent (Skyler): Thanks for calling T-Mobile, this is Skyler. How can I help you today?
Customer: Hi, I'm calling from Boston, MA. The app crashes on launch.
Agent (Skyler): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Skyler): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C059640859,Spokane,WA,Devices & Orders,Order Delay,544,Pending vendor response,"Agent (Avery): Thanks for calling T-Mobile, this is Avery. How can I help you today?
Customer: Hi, I'm calling from Spokane, WA. Tracking hasn't updated in days.
Agent (Avery): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",3,-0.15,neutral
C605827537,Las Vegas,NV,Account & App,Security/Pin Reset,627,Goodwill credit issued,"Agent (Sam): Hi, Sam here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Las Vegas, NV. Forgot my PIN.
Agent (Sam): I can help with that. Let me pull up your account.
Agent (Sam): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C873389622,San Antonio,TX,Plans & Features,Hotspot Issues,744,Replacement device shipped,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from San Antonio, TX. Laptop won't get internet from hotspot.
Agent (Taylor): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C239449553,Bellevue,WA,Account & App,Security/Pin Reset,811,Resolved on first call,"Agent (Harper): Thanks for calling T-Mobile, this is Harper. How can I help you today?
Customer: Hi, I'm calling from Bellevue, WA. Forgot my PIN.
Agent (Harper): I'll walk you through an eSIM reactivation.
Agent (Harper): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Harper): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
