call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C517391719,Fargo,ND,Billing & Payments,Promo Not Applied,631,Replacement device shipped,"Agent (Skyler): Hi, Skyler here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Fargo, ND. The trade-in promo didn't apply.
Agent (Skyler): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C116233826,Louisville,KY,Account & App,App Crash,422,Goodwill credit issued,"Agent (Casey): Thanks for calling T-Mobile, this is Casey. How can I help you today?
Customer: Hi, I'm calling from Louisville, KY. Payment screen freezes every time.
Agent (Casey): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Casey): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C729467103,Charlotte,NC,Devices & Orders,Upgrade Status,1100,Goodwill credit issued,"Agent (Reese): You're speaking with Reese from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Charlotte, NC. I want to confirm my trade-in was received.
Agent (Reese): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.1,neutral
C112857459,Tampa,FL,Account & App,Security/Pin Reset,328,Pending customer action,"Agent (Taylor): Hi, Taylor here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Tampa, FL. Forgot my PIN.
Agent (Taylor): I can help with that. Let me pull up your account.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,0.0,neutral
C684849901,Boise,ID,Billing & Payments,Payment Failure,706,Goodwill credit issued,"Agent (Skyler): You're speaking with Skyler from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Boise, ID. My autopay failed even though my card works.
Agent (Skyler): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Agent (Skyler): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Skyler): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.95,positive
C948101125,Denver,CO,Network & Coverage,Dropped Calls,839,Goodwill credit issued,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Denver, CO. Calls drop after a couple minutes.
Agent (Taylor): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.2,mixed
C037464674,Houston,TX,Network & Coverage,No Service,1464,Replacement device shipped,"Agent (Cameron): Thanks for calling T-Mobile, this is Cameron. How can I help you today?
Customer: Hi, I'm calling from Houston, TX. My phone shows no bars at home.
Agent (Cameron): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Agent (Cameron): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.95,positive
C058626555,New Orleans,LA,Billing & Payments,Overcharge,500,Goodwill credit issued,"Agent (Riley): Thanks for calling T-Mobile, this is Riley. How can I help you today?
Customer: Hi, I'm calling from New Orleans, LA. I was billed twice for last month.
Agent (Riley): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C471896078,Charlotte,NC,Devices & Orders,Return/Exchange,548,Replacement device shipped,"Agent (Drew): Thanks for calling T-Mobile, this is Drew. How can I help you today?
Customer: Hi, I'm calling from Charlotte, NC. I need to return a defective device.
Agent (Drew): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Drew): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C826757971,New Orleans,LA,Devices & Orders,Order Delay,586,Goodwill credit issued,"Agent (Emerson): You're speaking with Emerson from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from New Orleans, LA. Tracking hasn't updated in days.
Agent (Emerson): I'm pushing a network refresh; please toggle airplane mode.
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.85,positive
